link,economia,educação,saúde,segurança,cultura,meio ambiente,religião,vacina,desinformação,desarmamento,eleição,politica,corrupção
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/reuters/2018/10/09/haddad-diz-que-se-eleito-fazenda-sera-chefiada-por-banqueiro.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,1,0,0,0,0,0,0,0,0,0,1,1,0
https://catracalivre.com.br/cidadania/pastor-que-chutou-imagem-de-nossa-senhora-defende-jair-bolsonaro/,0,0,0,0,1,0,1,0,0,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/16/bolsonaro-extradicao-cesare-battisti.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,1,1,0,0,0,0,0,0,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/26/manuela-acusa-bolsonaro-de-distorcer-fala-e-pede-direito-de-resposta.htm?utm_medium=social-mediautm_content=geralutm_source=twitter,0,0,0,0,0,0,0,0,1,0,1,1,0
https://lula.com.br/haddad-estamos-diante-de-uma-tentativa-de-fraude-eleitoral/,1,0,0,0,0,0,0,0,1,0,1,1,1
https://poder360.com.br/eleicoes/eleito-governador-de-goias-ronaldo-caiado-declara-apoio-a-bolsonaro/,0,0,0,0,0,0,0,0,0,0,1,1,0
https://rd1.com.br/ratinho-sai-em-defesa-de-bolsonaro-xinga-jornalistas-e-detona-globonews/,1,0,0,0,0,0,0,0,0,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/16/bolsonaro-haddad-ricos-evangelicos-regioes-ibope.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,0,0,0,0,0,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/22/fhc-bolsonaro-ditadura-banir-marginais-vermelhos.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,1,0,0,1,0,0,0,0,0,0,1,1,0
"https://terra.com.br/noticias/nao-me-importo-se-bolsonaro-vai-gostar-ou-nao-afirma-eunicio-oliveira,7ff9d1bf31aeca2ef70028511fda7396i6ksquzd.html",1,0,0,0,0,0,0,0,0,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/18/medico-diz-que-bolsonaro-evolui-bem-mas-nao-cita-liberacao-para-debates.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,1,1,0,0,0,0,0,0,1,1,0
https://opovo.com.br/jornal/opiniao/2018/10/o-fenomeno-bolsonaro.html,0,0,0,0,0,0,0,0,0,0,1,1,0
https://jb.com.br/pais/eleicoes_2018/2018/10/949356-em-video-eduardo-bolsonaro-diz-que-basta-um-soldado-e-um-cabo-para-fechar-o-stf.html,0,0,0,1,0,0,0,0,0,0,0,1,0
https://cartacapital.com.br/politica/bolsonaro-ameaca-201cvamos-varrer-do-mapa-esses-bandidos-vermelhos201d,0,0,0,0,0,0,0,0,1,0,0,1,1
https://bbc.com/portuguese/brasil-45986698?ocid=socialflow_twitter,0,0,0,0,1,0,0,0,1,1,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/11/entrevista-coletiva-jair-bolsonaro-rio.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,1,0,1,1,0,0,0,0,1,1,1,0
https://noticias.uol.com.br/internacional/ultimas-noticias/2018/10/24/forum-anticorrupcao-lanca-manifesto-em-defesa-da-democracia-e-critica-falas-de-bolsonaro.htm?utm_campaign=uolutm_source=twitterutm_medium=social-media,0,0,0,1,0,0,0,0,1,0,1,1,1
