level,author_frac,post_frac
Very Low,0.00234192037470726,0.04442508710801394
Very Low,0.00468384074941452,0.08536585365853659
Very Low,0.00702576112412178,0.11498257839721254
Very Low,0.00936768149882904,0.13850174216027875
Very Low,0.0117096018735363,0.16114982578397213
Very Low,0.01405152224824356,0.1803135888501742
Very Low,0.01639344262295082,0.1951219512195122
Very Low,0.01873536299765808,0.20818815331010454
Very Low,0.02107728337236534,0.22038327526132404
Very Low,0.0234192037470726,0.23257839721254356
Very Low,0.02576112412177986,0.24390243902439024
Very Low,0.02810304449648712,0.25522648083623695
Very Low,0.03044496487119438,0.2665505226480836
Very Low,0.03278688524590164,0.2770034843205575
Very Low,0.0351288056206089,0.2857142857142857
Very Low,0.03747072599531616,0.2935540069686411
Very Low,0.03981264637002342,0.30139372822299654
Very Low,0.04215456674473068,0.30923344947735193
Very Low,0.04449648711943794,0.3170731707317073
Very Low,0.0468384074941452,0.3240418118466899
Very Low,0.04918032786885246,0.3310104529616725
Very Low,0.05152224824355972,0.33797909407665505
Very Low,0.053864168618266976,0.34494773519163763
Very Low,0.05620608899297424,0.3519163763066202
Very Low,0.0585480093676815,0.3588850174216028
Very Low,0.06088992974238876,0.36498257839721254
Very Low,0.06323185011709602,0.3710801393728223
Very Low,0.06557377049180328,0.37717770034843207
Very Low,0.06791569086651054,0.3832752613240418
Very Low,0.0702576112412178,0.3893728222996516
Very Low,0.07259953161592506,0.39547038327526135
Very Low,0.07494145199063232,0.40069686411149824
Very Low,0.07728337236533958,0.4059233449477352
Very Low,0.07962529274004684,0.41114982578397213
Very Low,0.08196721311475409,0.4163763066202091
Very Low,0.08430913348946135,0.42160278745644597
Very Low,0.08665105386416862,0.4268292682926829
Very Low,0.08899297423887588,0.43118466898954705
Very Low,0.09133489461358314,0.4355400696864111
Very Low,0.0936768149882904,0.43989547038327526
Very Low,0.09601873536299765,0.4442508710801394
Very Low,0.09836065573770492,0.44860627177700346
Very Low,0.10070257611241218,0.4529616724738676
Very Low,0.10304449648711944,0.4573170731707317
Very Low,0.1053864168618267,0.4616724738675958
Very Low,0.10772833723653395,0.46602787456445993
Very Low,0.11007025761124122,0.47038327526132406
Very Low,0.11241217798594848,0.47473867595818814
Very Low,0.11475409836065574,0.47909407665505227
Very Low,0.117096018735363,0.4834494773519164
Very Low,0.11943793911007025,0.4878048780487805
Very Low,0.12177985948477751,0.4921602787456446
Very Low,0.12412177985948478,0.49564459930313587
Very Low,0.12646370023419204,0.4991289198606272
Very Low,0.1288056206088993,0.5026132404181185
Very Low,0.13114754098360656,0.5060975609756098
Very Low,0.13348946135831383,0.509581881533101
Very Low,0.1358313817330211,0.5130662020905923
Very Low,0.13817330210772832,0.5165505226480837
Very Low,0.1405152224824356,0.5200348432055749
Very Low,0.14285714285714285,0.5235191637630662
Very Low,0.1451990632318501,0.5270034843205574
Very Low,0.14754098360655737,0.5304878048780488
Very Low,0.14988290398126464,0.5339721254355401
Very Low,0.1522248243559719,0.5374564459930313
Very Low,0.15456674473067916,0.5409407665505227
Very Low,0.15690866510538642,0.544425087108014
Very Low,0.1592505854800937,0.5479094076655052
Very Low,0.16159250585480095,0.5513937282229965
Very Low,0.16393442622950818,0.5548780487804879
Very Low,0.16627634660421545,0.5583623693379791
Very Low,0.1686182669789227,0.5618466898954704
Very Low,0.17096018735362997,0.5653310104529616
Very Low,0.17330210772833723,0.568815331010453
Very Low,0.1756440281030445,0.5714285714285714
Very Low,0.17798594847775176,0.5740418118466899
Very Low,0.18032786885245902,0.5766550522648084
Very Low,0.18266978922716628,0.5792682926829268
Very Low,0.18501170960187355,0.5818815331010453
Very Low,0.1873536299765808,0.5844947735191638
Very Low,0.18969555035128804,0.5871080139372822
Very Low,0.1920374707259953,0.5897212543554007
Very Low,0.19437939110070257,0.5923344947735192
Very Low,0.19672131147540983,0.5949477351916377
Very Low,0.1990632318501171,0.5975609756097561
Very Low,0.20140515222482436,0.6001742160278746
Very Low,0.20374707259953162,0.6027874564459931
Very Low,0.20608899297423888,0.6054006968641115
Very Low,0.20843091334894615,0.60801393728223
Very Low,0.2107728337236534,0.6106271777003485
Very Low,0.21311475409836064,0.6132404181184669
Very Low,0.2154566744730679,0.6158536585365854
Very Low,0.21779859484777517,0.6184668989547039
Very Low,0.22014051522248243,0.6210801393728222
Very Low,0.2224824355971897,0.6236933797909407
Very Low,0.22482435597189696,0.6263066202090593
Very Low,0.22716627634660422,0.6289198606271778
Very Low,0.22950819672131148,0.6315331010452961
Very Low,0.23185011709601874,0.6341463414634146
Very Low,0.234192037470726,0.6367595818815331
Very Low,0.23653395784543327,0.6393728222996515
Very Low,0.2388758782201405,0.64198606271777
Very Low,0.24121779859484777,0.6445993031358885
Very Low,0.24355971896955503,0.6472125435540069
Very Low,0.2459016393442623,0.6498257839721254
Very Low,0.24824355971896955,0.6524390243902439
Very Low,0.2505854800936768,0.6550522648083623
Very Low,0.2529274004683841,0.6576655052264808
Very Low,0.25526932084309134,0.6602787456445993
Very Low,0.2576112412177986,0.6628919860627178
Very Low,0.25995316159250587,0.6655052264808362
Very Low,0.26229508196721313,0.6681184668989547
Very Low,0.2646370023419204,0.6707317073170732
Very Low,0.26697892271662765,0.6733449477351916
Very Low,0.2693208430913349,0.6759581881533101
Very Low,0.2716627634660422,0.6777003484320557
Very Low,0.27400468384074944,0.6794425087108014
Very Low,0.27634660421545665,0.681184668989547
Very Low,0.2786885245901639,0.6829268292682927
Very Low,0.2810304449648712,0.6846689895470384
Very Low,0.28337236533957844,0.686411149825784
Very Low,0.2857142857142857,0.6881533101045296
Very Low,0.28805620608899296,0.6898954703832753
Very Low,0.2903981264637002,0.6916376306620209
Very Low,0.2927400468384075,0.6933797909407665
Very Low,0.29508196721311475,0.6951219512195121
Very Low,0.297423887587822,0.6968641114982579
Very Low,0.2997658079625293,0.6986062717770035
Very Low,0.30210772833723654,0.7003484320557491
Very Low,0.3044496487119438,0.7020905923344948
Very Low,0.30679156908665106,0.7038327526132404
Very Low,0.3091334894613583,0.705574912891986
Very Low,0.3114754098360656,0.7073170731707317
Very Low,0.31381733021077285,0.7090592334494773
Very Low,0.3161592505854801,0.710801393728223
Very Low,0.3185011709601874,0.7125435540069687
Very Low,0.32084309133489464,0.7142857142857143
Very Low,0.3231850117096019,0.7160278745644599
Very Low,0.3255269320843091,0.7177700348432056
Very Low,0.32786885245901637,0.7195121951219512
Very Low,0.33021077283372363,0.7212543554006968
Very Low,0.3325526932084309,0.7229965156794426
Very Low,0.33489461358313816,0.7247386759581882
Very Low,0.3372365339578454,0.7264808362369338
Very Low,0.3395784543325527,0.7282229965156795
Very Low,0.34192037470725994,0.7299651567944251
Very Low,0.3442622950819672,0.7317073170731707
Very Low,0.34660421545667447,0.7334494773519163
Very Low,0.34894613583138173,0.735191637630662
Very Low,0.351288056206089,0.7369337979094077
Very Low,0.35362997658079626,0.7386759581881533
Very Low,0.3559718969555035,0.740418118466899
Very Low,0.3583138173302108,0.7421602787456446
Very Low,0.36065573770491804,0.7439024390243902
Very Low,0.3629976580796253,0.7456445993031359
Very Low,0.36533957845433257,0.7473867595818815
Very Low,0.36768149882903983,0.7491289198606271
Very Low,0.3700234192037471,0.7508710801393729
Very Low,0.37236533957845436,0.7526132404181185
Very Low,0.3747072599531616,0.7543554006968641
Very Low,0.3770491803278688,0.7560975609756098
Very Low,0.3793911007025761,0.7578397212543554
Very Low,0.38173302107728335,0.759581881533101
Very Low,0.3840749414519906,0.7613240418118467
Very Low,0.3864168618266979,0.7630662020905923
Very Low,0.38875878220140514,0.764808362369338
Very Low,0.3911007025761124,0.7665505226480837
Very Low,0.39344262295081966,0.7682926829268293
Very Low,0.3957845433255269,0.7700348432055749
Very Low,0.3981264637002342,0.7717770034843205
Very Low,0.40046838407494145,0.7735191637630662
Very Low,0.4028103044496487,0.7752613240418118
Very Low,0.405152224824356,0.7770034843205574
Very Low,0.40749414519906324,0.7787456445993032
Very Low,0.4098360655737705,0.7804878048780488
Very Low,0.41217798594847777,0.7813588850174216
Very Low,0.41451990632318503,0.7822299651567944
Very Low,0.4168618266978923,0.7831010452961672
Very Low,0.41920374707259955,0.7839721254355401
Very Low,0.4215456674473068,0.7848432055749129
Very Low,0.4238875878220141,0.7857142857142857
Very Low,0.4262295081967213,0.7865853658536586
Very Low,0.42857142857142855,0.7874564459930313
