rph_delta,discrepancy_level,account_name,consensus_index,toxicity,author_links_history
0.9839691900122249,Very High,Fernando Haddad,0.9908148092378927,0.0154562555,14
1.228320705784004,Very High,Quebrando o Tabu,0.9990460704607046,0.05205809,24
0.17502654561977404,Low,Quebrando o Tabu,0.07639706045602895,0.4269174,24
0.16612053080861486,Low,UOL Notícias,0.9903519842939279,0.01646154,288
0.1821336914113066,Low,UOL,0.9915973951925097,0.0201057,263
0.24208430090762514,Low,UOL Notícias,0.9562039235286768,0.026263772,288
0.08588819473608678,Very Low,Lula,0.995149077141505,0.008607753,26
0.770623244762671,Very High,Quebrando o Tabu,0.15314766286793832,0.028974265,24
0.0989999738817026,Very Low,UOL,0.5978239169494909,0.024967449,263
0.4142969187880998,High,Fernando Haddad,0.7201080130620447,0.49139655,14
0.4153035418893504,High,UOL,0.9830824372759857,0.3722269,263
0.05714696096332095,Very Low,Quebrando o Tabu,0.9912571291964072,0.30527395,24
0.5029964958424179,Very High,UOL Notícias,0.9367866549604916,0.022021262,288
0.057060511550011905,Very Low,Mídia NINJA,0.9979114452798663,0.005780388,39
0.09929825543652882,Very Low,Lula,0.9953298307063632,0.012943043,26
0.1677893867858394,Low,UOL,0.6847253096221022,0.034748793,263
0.5716474195270661,Very High,UOL Notícias,0.9426219682742638,0.017341165,288
0.03522383676239005,Very Low,Revista ISTOÉ,0.9855088702147525,0.0038169413,3
0.12168433865138287,Very Low,UOL Notícias,0.9788716565520341,0.030506283,288
0.2434901847249394,Low,UOL,0.7490445859872611,0.036870047,263
0.3859959997010976,High,UOL,0.13314037626628075,0.0003750184,263
0.2520471464048384,Low,UOL,0.9761748523547524,0.008921904,263
0.09553797546098397,Very Low,Quebrando o Tabu,0.5875845860853357,0.15766735,24
0.05504789701702009,Very Low,Terra,0.8717559824738793,0.0007539637,197
0.45713889756962084,High,UOL Notícias,0.9145553437776022,0.011623607,288
0.6632306050547664,Very High,UOL,0.9771743995226018,0.112746716,263
0.008846753723043999,Very Low,Quebrando o Tabu,0.7128749668170958,0.102192536,24
0.0690899838113772,Very Low,UOL,0.9082150101419878,0.031331215,263
0.6792437656574581,Very High,UOL Notícias,0.9586215120438827,0.112436704,288
0.5024466964644884,Very High,UOL,0.9686856595642805,0.001115238,263
0.1529243604248266,Very Low,Catraca Livre,0.9785773406689712,0.0006086686,53
0.7682975031863567,Very High,UOL,0.33136144680131835,0.015016444,263
0.4731520581723126,High,UOL,0.8986408176166895,0.014136819,263
0.06172513915999789,Very Low,Mídia NINJA,0.998767071320182,0.03015274,39
0.4187151821130296,High,UOL,0.9503985828166519,0.022846194,263
0.05397640270369086,Very Low,Time Ciro Gomes,0.9983527231545352,0.022021262,35
0.0042384185487526205,Very Low,Catraca Livre,0.3330030959752322,0.0012566062,53
0.4105966349933461,High,Terra,0.9857279795505378,0.0000150939995,197
0.3882075571165384,High,UOL,0.7535864104821586,0.030506283,263
0.2471493129308934,Low,UOL,0.9583309352517986,0.007853788,263
0.570379066867106,Very High,Quebrando o Tabu,0.7950270959515461,0.17545098,24
0.371397724479023,High,Mídia NINJA,0.9985274783066,0.005434822,39
0.001178822012783104,Very Low,Terra,0.8197812648597242,0.0000937546,197
0.6581935221487487,Very High,Catraca Livre,0.9326521133302369,0.01005285,53
0.5177391519049227,Very High,UOL,0.5210604558969276,0.104795754,263
0.235321099259043,Low,Guilherme Boulos,0.19087202837930853,0.21642438,3
0.5441722120116227,Very High,UOL,0.9420122610890732,0.024731753,263
0.08298681327901086,Very Low,UOL Notícias,0.4986307453186293,0.018849092,288
0.929190064262946,Very High,Quebrando o Tabu,0.682738669238187,0.00031022466,24
0.05936046130357331,Very Low,Catraca Livre,0.04520881601615873,0.03062413,53
0.49410809030689157,High,UOL,0.9425102660239243,0.01822079,263
0.4141041405904184,High,UOL,0.9483301827347196,0.020607091,263
0.4250342873447946,High,UOL,0.904294843215931,0.063027434,263
0.7542377401273777,Very High,UOL,0.006023411751335379,0.007759543,263
0.3009013137317292,Low,UOL Notícias,0.9549736769188141,0.029327808,288
0.25950334532763114,Low,UOL Notícias,0.8509823003466942,0.008607753,288
0.4886729477820276,High,UOL,0.13284671532846715,0.009173225,263
0.3225679462603376,High,UOL,0.950929788587994,0.044141594,263
0.029720394049338905,Very Low,Terra,0.5937112122465866,0.0018456402,197
0.46243982974441783,High,UOL Notícias,0.7906707228741127,0.019728716,288
0.38861095449248917,High,UOL Notícias,0.9839209225700165,0.007099825,288
0.4213970917454521,High,Terra,0.8827671913835957,0.00063222996,197
0.49854684198220284,Very High,UOL Notícias,0.9722588251612456,0.021785567,288
0.827390313279877,Very High,Quebrando o Tabu,0.14304842669047088,0.024378212,24
0.35338507365930205,High,Terra,0.9676335117639736,0.00009768149,197
0.4422522323348644,High,UOL,0.9466386278504304,0.0006086686,263
0.2451703539657839,Low,Terra,0.9205025699600229,0.0013822668,197
0.6222143495972179,Very High,UOL Notícias,0.8675421530479897,0.039935954,288
0.7382245795246859,Very High,UOL Notícias,0.02430667094978049,0.0030786851,288
0.35010026864293486,High,UOL Notícias,0.9763138415988157,0.10175867,288
0.4780949297041998,High,UOL Notícias,0.9265671641791045,0.015644746,288
0.3567627175882726,High,UOL,0.9675021607605877,0.0013115826,263
0.4578473754806926,High,UOL,0.9497536945812808,0.00823077,263
0.6186909680209427,Very High,UOL,0.9443582960868375,0.10089093,263
0.11339682081957381,Very Low,Fernando Haddad,0.9976961474465634,0.0074139764,14
0.10136646795074689,Very Low,Terra,0.9383886255924171,0.0010916766,197
0.5012139554835284,Very High,UOL,0.9691939981410171,0.014450971,263
0.007595733299447627,Very Low,Catraca Livre,0.9838643511554765,0.0062516155,53
0.2096124032308304,Low,UOL,0.9842897665284748,0.01608456,263
0.3202422140604096,High,UOL,0.9674993035565048,0.008293601,263
0.06262042405459856,Very Low,Brasil 247,0.9963053374678367,0.009298885,8
0.5172271160862202,Very High,UOL Notícias,0.9412271878143411,0.06817148,288
0.040247482499549535,Very Low,UOL Notícias,0.874145828640084,0.025910228,288
0.4881777324663696,High,UOL,0.9595314164004259,0.0016571494,263
0.3278708912880024,High,UOL,0.9486534632715079,0.042657252,263
0.4522757815087291,High,Terra,0.8693162216242324,0.036162965,197
0.1875535029875754,Low,UOL,0.4476162448499117,0.021903414,263
0.49979877840108483,Very High,UOL Notícias,0.9402478607258778,0.034984488,288
0.3924337443887156,High,UOL,0.9398188723342098,0.022610499,263
0.2769427983544537,Low,Catraca Livre,0.9478273402032139,0.00083250157,53
0.3666593449281514,High,UOL,0.9671746776084408,0.0103670005,263
0.3850374034619366,High,UOL,0.7888711644928216,0.008796243,263
0.10644430122567959,Very Low,UOL,0.9026913561736262,0.4269174,263
0.2848881531290374,Low,UOL,0.967436510043359,0.01426248,263
1.1025685221487487,Very High,Catraca Livre,0.991783852109338,0.24924077,53
0.6026778074182509,Very High,UOL Notícias,0.9407002828440456,0.024731753,288
0.44291249910235214,High,UOL Notícias,0.9702248484383393,0.016712861,288
0.1642510565210606,Low,UOL,0.891232470641888,0.044883765,263
0.018706182947370364,Very Low,Catraca Livre,0.9913405767502655,0.0011702145,53
0.38354744715953615,High,UOL Notícias,0.9114451285766026,0.009361716,288
0.298120204124342,Low,Tico Santa Cruz,0.9894647145402432,0.15822013,1
0.19486658968295914,Low,UOL Notícias,0.9428460718783299,0.09308127,288
0.598130352002812,Very High,Coisas pra crente,0.9925925925925926,0.015079274,1
0.2116718752939554,Low,UOL,0.9706519124368534,0.07687678,263
0.34388405189069415,High,UOL Notícias,0.9356526288255297,0.042657252,288
0.06636969204464349,Very Low,Brasil 247,0.9966934696024649,0.009738698,8
0.11228524478970339,Very Low,UOL,0.36081362200477696,0.13214645,263
0.3065547856576458,Low,UOL Notícias,0.962819089900111,0.011372286,288
0.38146364719450343,High,UOL,0.945233612870101,0.02249265,263
0.38191343922669585,High,UOL Notícias,0.9004126031507877,0.002230476,288
0.12048036157029787,Very Low,UOL Notícias,0.5264306091626112,0.018849092,288
0.1364935221729896,Very Low,UOL,0.5608348134991119,0.010995304,263
0.2713480253834952,Low,UOL Notícias,0.9632311071341414,0.012314741,288
0.5281590514089309,Very High,UOL Notícias,0.9242089064153121,0.045378547,288
0.3224900972550941,High,Terra,0.929499409466703,0.007790958,197
0.44183421487800084,High,UOL Notícias,0.9563309866340169,0.02249265,288
0.27463791660987563,Low,Catraca Livre,0.98794022546535,0.036162965,53
0.3968758618137118,High,Lula,0.667406901264093,0.30452284,26
0.02057398524354751,Very Low,UOL,0.9299773558613482,0.044636376,263
0.107257270398058,Very Low,Joice Hasselmann,0.013705066959041428,0.009550206,2
0.3505699378267071,High,Terra,0.9040083289953149,0.0043038763,197
0.008784588429834983,Very Low,Quebrando o Tabu,0.5032936949268543,0.009361716,24
0.5305390351338399,Very High,UOL Notícias,0.4151578947368421,0.23739935,288
0.43989805135987387,High,UOL Notícias,0.936064152579107,0.17198499,288
0.3878382191037084,High,UOL,0.9339194280745822,0.038048524,263
